,group,libsize,has_program,program_usage,is_doublet,group2
Cell1,11,468.19775028930013,False,0.0,False,-1
Cell2,10,14806.66618723909,False,0.0,False,-1
Cell3,11,1905.641399656006,False,0.0,False,-1
Cell4,10,4829.2146680744745,False,0.0,False,-1
Cell5,13,1981.7863620830196,False,0.0,False,-1
Cell6,13,344.57737234172936,False,0.0,False,-1
Cell7,12,6242.1786338258735,False,0.0,False,-1
Cell8,11,3360.4681215071946,False,0.0,False,-1
Cell9,3,866.4425770873571,True,0.3172988239531879,False,-1
Cell10,8,6883.891097771144,False,0.0,False,-1
Cell11,3,2033.1461580219757,False,0.0,False,-1
Cell12,11,2644.2708680405267,False,0.0,False,-1
Cell13,11,1590.0805052311841,False,0.0,False,-1
Cell14,8,3138.898706599336,False,0.0,False,-1
Cell15,4,1641.597899088017,False,0.0,False,-1
Cell16,7,1989.6532817346983,False,0.0,False,-1
Cell17,1,1558.3258870348097,True,0.559946106067083,False,-1
Cell18,11,1755.1326288580228,False,0.0,False,-1
Cell19,12,1251.05669963423,False,0.0,False,-1
Cell20,5,760.278758337345,False,0.0,False,-1
Cell21,10,668.750346946032,False,0.0,False,-1
Cell22,3,493.37738842052545,False,0.0,True,9
Cell23,6,3624.3201313098057,False,0.0,False,-1
Cell24,4,5220.293411739762,True,0.26783663926019996,False,-1
Cell25,11,994.3478625295535,False,0.0,False,-1
Cell26,12,607.4322030999876,False,0.0,False,-1
Cell27,5,2316.558484401965,False,0.0,False,-1
Cell28,3,6907.906585180534,True,0.1266355242287276,False,-1
Cell29,11,811.3113666482266,False,0.0,False,-1
Cell30,5,866.8240736374393,False,0.0,False,-1
Cell31,9,3232.2598165364448,False,0.0,False,-1
Cell32,9,2023.3680401489416,False,0.0,False,-1
Cell33,4,1580.9028085084265,True,0.4844872464182327,False,-1
Cell34,11,6162.497896184446,False,0.0,False,-1
Cell35,9,1613.3963195405925,False,0.0,False,-1
Cell36,2,3817.2859102696425,True,0.6105143052658898,False,-1
Cell37,1,2480.6403452057707,True,0.5017140047264543,False,-1
Cell38,10,2503.916038536678,False,0.0,False,-1
Cell39,11,2130.935933204082,False,0.0,True,12
Cell40,7,8214.02454077616,False,0.0,False,-1
Cell41,8,3069.6862196696343,False,0.0,False,-1
Cell42,8,2640.7625360738475,False,0.0,False,-1
Cell43,3,2381.515278906378,False,0.0,False,-1
Cell44,4,1764.3603102296297,False,0.0,False,-1
Cell45,13,1334.6564339129059,False,0.0,False,-1
Cell46,8,2938.524916857843,False,0.0,False,-1
Cell47,10,1164.8229643803327,False,0.0,False,-1
Cell48,6,10028.597672704313,False,0.0,False,-1
Cell49,9,2238.649869552627,False,0.0,False,-1
Cell50,1,3356.906894353402,True,0.5989508489991153,False,-1
Cell51,8,2742.249951736523,False,0.0,False,-1
Cell52,13,996.3591760262927,False,0.0,False,-1
Cell53,10,569.27251154542,False,0.0,False,-1
Cell54,1,879.3471874065133,True,0.37973098850182874,False,-1
Cell55,10,807.6373449442258,False,0.0,False,-1
Cell56,10,290.9903159762681,False,0.0,False,-1
Cell57,6,3393.1772966960493,False,0.0,False,-1
Cell58,2,137.94080242543663,True,0.6305771284767755,False,-1
Cell59,6,1279.8845648663885,False,0.0,False,-1
Cell60,4,2070.2843222085253,True,0.6118186282329416,True,3
Cell61,12,3669.476667174419,False,0.0,False,-1
Cell62,4,757.9742681031751,False,0.0,False,-1
Cell63,2,2363.401051290376,False,0.0,False,-1
Cell64,11,3984.3398438030963,False,0.0,False,-1
Cell65,6,4024.012639696185,False,0.0,False,-1
Cell66,6,2007.499286946459,False,0.0,False,-1
Cell67,4,463.64841710679553,True,0.2234465922230633,False,-1
Cell68,13,1566.355192213395,False,0.0,False,-1
Cell69,5,2093.8738248403283,False,0.0,False,-1
Cell70,11,932.1028827293187,False,0.0,False,-1
Cell71,9,1423.0478771328671,False,0.0,False,-1
Cell72,2,3031.442052891323,True,0.5303137345809359,False,-1
Cell73,12,1644.3301180833628,False,0.0,False,-1
Cell74,9,5790.028917134088,False,0.0,False,-1
Cell75,1,11096.423166204706,False,0.0,False,-1
Cell76,6,1127.5887970172016,False,0.0,False,-1
Cell77,4,4922.570903672634,False,0.0,False,-1
Cell78,11,3117.1565591416947,False,0.0,True,5
Cell79,1,1136.9546330621695,False,0.0,False,-1
Cell80,6,1478.2331132206245,False,0.0,False,-1
Cell81,1,6136.985085441885,False,0.0,True,9
Cell82,6,2051.167537149328,False,0.0,False,-1
Cell83,1,5483.819536083501,False,0.0,False,-1
Cell84,8,3965.752910691067,False,0.0,False,-1
Cell85,1,1068.0180148793283,True,0.2553096323565993,False,-1
Cell86,4,629.067081386287,False,0.0,False,-1
Cell87,2,1581.3943336632162,False,0.0,False,-1
Cell88,13,1095.4182959825955,False,0.0,False,-1
